Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Cluster,PCA1,PCA2
1811,190,RM,63.0,7627.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,2fmCon,2Story,4,6.0,1920,1950,Gable,CompShg,AsbShng,AsbShng,BrkFace,0.0,Fa,TA,BrkTil,Fa,Po,No,Unf,0.0,Unf,0.0,600.0,600.0,GasA,Gd,N,SBrkr,1101,600,0,1701.0,0.0,0.0,2.0,0,4.0,2,Fa,8,Typ,0.0,Gd,Attchd,1979.0,Unf,0.0,0.0,TA,TA,N,0,0,148,0,0,0,Ex,MnPrv,Shed,0,10,2009,WD,Normal,1,-2.5031338689875597,2.7149998871023837
1812,50,RM,56.0,10134.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5.0,1910,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,801.0,801.0,GasA,Gd,N,SBrkr,801,646,0,1447.0,0.0,0.0,1.0,0,3.0,1,TA,6,Typ,0.0,Gd,Attchd,1979.0,Unf,0.0,0.0,TA,TA,N,80,0,244,0,0,0,Ex,MnPrv,Shed,0,7,2009,WD,Normal,1,-3.102507267262149,1.4597206081595746
1813,50,RM,50.0,6000.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7.0,1950,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,Ex,CBlock,TA,TA,No,BLQ,384.0,Unf,0.0,384.0,768.0,GasA,TA,Y,FuseA,768,560,0,1328.0,0.0,0.0,1.0,1,3.0,1,TA,6,Typ,0.0,Gd,Detchd,1950.0,Unf,1.0,308.0,TA,TA,Y,0,12,0,0,0,0,Ex,MnPrv,Shed,0,3,2009,WD,Normal,1,-2.3494922315798497,0.5521038349053187
1814,30,RM,62.0,7404.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6.0,1920,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,GasA,TA,Y,SBrkr,861,0,0,861.0,0.0,0.0,1.0,0,2.0,1,TA,5,Typ,0.0,Gd,Detchd,1920.0,Unf,2.0,288.0,TA,TA,N,0,0,128,0,0,0,Ex,MnPrv,Shed,0,11,2009,Oth,Normal,1,-2.6931329849663688,-0.02420464142268338
1815,30,RM,50.0,5925.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,2,4.0,1940,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,Gd,BrkTil,TA,TA,No,GLQ,0.0,Unf,0.0,0.0,4.0,GasA,Fa,N,FuseA,612,0,0,612.0,0.0,0.0,1.0,0,1.0,1,TA,4,Typ,0.0,Gd,Detchd,1965.0,Unf,1.0,308.0,TA,Fa,N,0,0,25,0,0,0,Ex,MnPrv,Shed,0,10,2009,WD,Normal,1,-4.217379832944662,-0.9867838029481226
1816,30,RM,60.0,8520.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,7.5,1923,1950,Gable,CompShg,Stucco,Stucco,BrkFace,0.0,Gd,TA,PConc,Fa,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,TA,Y,SBrkr,792,0,0,792.0,0.0,0.0,1.0,0,2.0,1,TA,5,Typ,0.0,Gd,Detchd,1963.0,Unf,1.0,287.0,TA,TA,Y,0,0,81,0,0,0,Ex,GdWo,Shed,0,2,2009,WD,Normal,1,-3.3391584700230212,0.5862004123142318
1817,70,RM,60.0,9600.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4.0,1910,1950,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,677.0,677.0,GasA,TA,Y,SBrkr,833,677,0,1510.0,0.0,0.0,2.0,0,3.0,1,Gd,7,Typ,0.0,Gd,Detchd,1974.0,Unf,2.0,720.0,TA,TA,N,0,0,160,0,0,0,Ex,MnPrv,Shed,0,6,2009,WD,Normal,1,-0.16429735514020866,1.0167361287149541
1818,70,RM,70.0,8400.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,6,7.0,1900,1950,Gable,CompShg,Stucco,BrkFace,BrkFace,0.0,TA,TA,BrkTil,Fa,Gd,Mn,Unf,0.0,Unf,0.0,917.0,917.0,GasA,Gd,Y,FuseA,1090,917,0,2007.0,0.0,0.0,2.0,0,3.0,1,Ex,8,Typ,0.0,Gd,Detchd,1930.0,Unf,1.0,357.0,TA,TA,Y,0,180,0,0,0,0,Ex,MnPrv,Shed,0,6,2009,WD,Normal,1,-0.7224836176292947,2.9020442518890595
1819,70,RM,60.0,3600.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7.0,1917,2007,Gable,CompShg,Stucco,Stucco,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Ex,Y,SBrkr,664,624,0,1288.0,1.0,0.0,1.0,0,3.0,1,Ex,5,Typ,1.0,Gd,Attchd,1917.0,Unf,1.0,280.0,TA,TA,N,0,103,0,0,0,0,Ex,MnPrv,Shed,0,5,2009,WD,Normal,1,-2.950987140449123,0.3653188622143573
1820,30,C (all),67.0,3300.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,3.5,1910,1950,Gable,CompShg,Stucco,Stucco,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Ex,Y,SBrkr,816,0,0,816.0,0.0,0.0,1.0,0,2.0,1,TA,5,Typ,1.0,Gd,Attchd,1979.0,Unf,0.0,0.0,TA,TA,N,0,33,0,0,0,0,Ex,MnPrv,Shed,0,6,2009,WD,Normal,1,-4.310717842190373,-0.42046061632513665
1821,50,RM,60.0,5400.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,6.0,1920,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,Fa,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,972.0,972.0,GasA,Ex,Y,SBrkr,1044,0,436,1480.0,0.0,0.0,1.0,0,3.0,1,TA,6,Typ,0.0,Gd,Detchd,1920.0,Unf,1.0,207.0,Fa,TA,Y,0,0,176,0,0,0,Ex,MnPrv,Shed,0,9,2009,ConLI,Family,1,-2.169178417235566,0.6684047300830601
1822,70,RM,60.0,9720.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7.0,1910,2002,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,741.0,741.0,GasA,Ex,Y,SBrkr,780,741,0,1521.0,0.0,0.0,1.0,0,4.0,1,Gd,8,Typ,0.0,Gd,Detchd,1950.0,Unf,3.0,640.0,TA,TA,Y,0,0,238,0,0,0,Ex,MnPrv,Shed,0,9,2009,WD,Normal,1,-0.1682804768077233,1.7597444415489911
1823,30,C (all),72.0,9392.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,3,3.5,1900,1950,Mansard,CompShg,AsbShng,AsbShng,BrkFace,0.0,TA,Fa,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,245.0,245.0,GasA,TA,N,SBrkr,797,0,0,797.0,0.0,0.0,1.0,0,2.0,1,TA,5,Typ,0.0,Gd,Attchd,1979.0,Unf,0.0,0.0,TA,TA,N,0,36,94,0,0,0,Ex,MnPrv,Shed,0,9,2009,WD,Abnorml,1,-4.613255430491697,0.5633266903440696
1824,30,RL,67.0,6615.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,6,6.0,1923,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1022.0,1022.0,GasA,TA,N,FuseA,1432,0,0,1432.0,0.0,0.0,1.0,0,3.0,1,Gd,6,Typ,1.0,Gd,BuiltIn,1923.0,Unf,1.0,216.0,Fa,TA,Y,266,61,0,0,0,0,Ex,GdWo,Shed,0,9,2009,WD,Normal,1,-2.0568190827242963,0.674764404993831
1825,70,RL,50.0,4960.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,5,7.0,1930,1982,Gable,CompShg,WdShing,Wd Shng,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,297.0,297.0,GasA,Ex,Y,SBrkr,1001,653,0,1654.0,0.0,0.0,2.0,0,3.0,1,TA,7,Typ,1.0,Gd,Detchd,1955.0,Unf,1.0,336.0,TA,TA,N,244,60,0,0,0,0,Ex,MnPrv,Shed,0,5,2009,WD,Normal,1,-1.8322546091854353,1.746736069642101
1826,50,RM,60.0,6000.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5.0,1924,1950,Gable,CompShg,Stucco,Stucco,BrkFace,405.0,TA,TA,BrkTil,TA,TA,No,Rec,220.0,Unf,0.0,248.0,468.0,GasA,Gd,Y,SBrkr,822,320,0,1142.0,0.0,0.0,1.0,0,3.0,1,TA,6,Typ,0.0,Gd,Attchd,1924.0,Fin,1.0,320.0,TA,TA,Y,0,0,98,0,0,0,Ex,MnPrv,Shed,0,6,2009,WD,Normal,1,-2.6097344915000336,0.2764522712306968
1827,30,RM,51.0,6120.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,6.0,1925,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,960.0,960.0,GasA,Gd,Y,SBrkr,995,0,0,995.0,0.0,0.0,1.0,0,2.0,1,TA,5,Typ,0.0,Gd,Detchd,1926.0,Unf,1.0,264.0,TA,TA,Y,0,15,51,0,0,0,Ex,MnPrv,Shed,0,3,2009,WD,Abnorml,1,-2.826927128584629,-0.058366103622302455
1828,50,RM,51.0,6120.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6.0,1938,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,BrkTil,TA,Fa,No,LwQ,273.0,Unf,0.0,679.0,952.0,GasA,TA,Y,FuseA,994,588,0,1582.0,0.0,0.0,2.0,0,3.0,1,TA,6,Typ,1.0,Gd,Detchd,1938.0,Unf,1.0,250.0,Fa,TA,Y,189,0,34,150,0,0,Ex,MnPrv,Shed,0,2,2009,WD,Normal,1,-1.4462164481198176,0.8203427190540621
1829,30,RM,50.0,8635.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,5.0,1925,1950,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,LwQ,134.0,Unf,0.0,938.0,1072.0,GasA,TA,Y,SBrkr,1072,0,0,1072.0,1.0,0.0,1.0,0,2.0,1,TA,5,Typ,0.0,Gd,Detchd,1982.0,Unf,3.5,963.0,Fa,TA,P,0,0,105,0,0,0,Ex,MnPrv,Shed,0,8,2009,WD,Normal,1,0.12283114860580496,-1.0314133875710327
1830,70,RM,57.0,8094.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,6.0,1915,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,1048.0,1048.0,GasA,Gd,Y,FuseA,1048,720,0,1768.0,0.0,0.0,2.0,0,3.0,1,TA,8,Typ,0.0,Gd,Detchd,1930.0,Unf,2.0,576.0,Fa,Fa,Y,0,0,150,0,0,0,Ex,MnPrv,Shed,0,6,2009,WD,Normal,0,0.3800019799659741,1.7387997097278576
1831,70,RM,68.0,9928.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7.5,1915,1994,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Fa,Y,SBrkr,1272,672,0,1944.0,0.0,0.0,2.0,0,3.0,1,TA,8,Min2,0.0,Gd,Detchd,1915.0,Unf,1.0,216.0,TA,TA,N,24,28,0,0,0,0,Ex,MnPrv,Shed,400,6,2009,WD,Normal,1,-0.7951119506956238,2.9651189740231594
1832,90,RM,50.0,3000.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,Duplex,2Story,5,3.5,1922,1950,Hip,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,0.0,Unf,0.0,1040.0,1040.0,GasA,TA,N,SBrkr,1088,1040,0,2128.0,0.0,0.0,2.0,0,4.0,2,TA,10,Sev,0.0,Gd,Attchd,1979.0,Unf,0.0,0.0,TA,TA,Y,0,56,0,0,0,0,Ex,MnPrv,Shed,0,9,2009,WD,Abnorml,1,-0.9943419688786964,2.3330557906391083
1833,70,RM,57.0,6876.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,6,5.0,1927,1950,Gable,CompShg,Plywood,Plywood,BrkFace,0.0,TA,TA,CBlock,TA,Fa,No,BLQ,522.0,Unf,0.0,198.0,720.0,GasA,Fa,Y,SBrkr,1146,784,0,1930.0,1.0,0.0,2.0,0,4.0,1,TA,8,Typ,0.0,Gd,Attchd,1927.0,Unf,1.0,316.0,TA,TA,Y,0,0,213,0,0,0,Ex,MnPrv,Shed,0,8,2009,WD,Normal,1,-0.46186848234724076,1.7396482266487086
1834,70,RM,67.0,5775.0,Pave,Grvl,IR2,Bnk,AllPub,Corner,Mod,OldTown,Feedr,Norm,1Fam,2Story,6,7.0,1915,2002,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,483.0,483.0,GasA,Ex,Y,SBrkr,741,686,0,1427.0,0.0,0.0,1.0,0,3.0,1,Gd,7,Typ,0.0,Gd,Attchd,1915.0,Unf,1.0,379.0,TA,TA,Y,0,24,112,0,0,0,Ex,MnPrv,Shed,0,2,2009,WD,Normal,1,-2.266476215662165,1.475112973976506
1835,190,RM,41.0,5852.0,Pave,Grvl,IR3,Bnk,AllPub,Corner,Gtl,OldTown,Feedr,Norm,2fmCon,2.5Unf,7,5.0,1902,2000,Gable,CompShg,MetalSd,MetalSd,Stone,188.0,TA,Fa,BrkTil,TA,Fa,No,Rec,169.0,Unf,0.0,851.0,1020.0,GasA,TA,N,FuseF,978,886,0,1864.0,0.0,0.0,2.0,1,4.5,1,TA,9,Typ,0.0,Gd,Attchd,1979.0,Unf,0.0,0.0,TA,TA,N,0,180,102,0,0,0,Ex,MnPrv,Shed,0,5,2009,WD,Normal,1,-1.2171235779908622,2.5344630218577633
1836,50,RM,60.0,5160.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6.0,1927,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1204.0,1204.0,GasA,TA,Y,FuseA,1204,462,0,1666.0,0.0,0.0,1.0,0,3.0,1,TA,4,Typ,0.0,Gd,Detchd,1927.0,Unf,1.0,384.0,Fa,TA,Y,0,0,148,0,0,0,Ex,MnPrv,Shed,0,8,2009,WD,Normal,1,-1.8804065723140133,-0.2586954129719936
1837,85,RM,86.0,5160.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,SFoyer,4,6.0,1923,1950,Hip,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,Gd,PConc,Gd,Fa,Av,BLQ,749.0,Rec,63.0,46.0,858.0,GasA,TA,Y,SBrkr,892,0,0,892.0,1.0,0.0,1.0,0,1.0,1,Gd,5,Min2,0.0,Gd,Attchd,1979.0,Unf,0.0,0.0,TA,TA,N,0,0,105,0,160,0,Ex,MnPrv,Shed,0,7,2009,COD,Abnorml,1,-4.279889768576917,0.31214287080879055
1838,190,RM,60.0,10320.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,2fmCon,2Story,6,7.0,1915,1965,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,Gd,CBlock,TA,TA,No,Rec,276.0,ALQ,262.0,160.0,698.0,GasA,Ex,Y,FuseF,754,649,0,1403.0,1.0,0.0,1.0,1,3.0,1,TA,7,Typ,0.0,Gd,Detchd,1915.0,Unf,1.0,308.0,TA,TA,Y,0,0,288,0,0,0,Ex,MnPrv,Shed,0,2,2009,WD,Normal,1,-2.0003269604438083,1.8720343567593847
1839,20,RL,50.0,4280.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,7.5,1946,2001,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,Gd,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,560.0,560.0,GasA,Ex,Y,FuseA,704,0,0,704.0,0.0,1.0,1.0,0,2.0,1,Fa,4,Typ,0.0,Gd,CarPort,1946.0,Unf,1.0,220.0,TA,TA,Y,0,0,24,0,0,0,Ex,MnPrv,Shed,0,9,2009,WD,Normal,1,-4.031530420273242,-0.459395665605236
1840,90,RL,60.0,10800.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5.0,1987,1988,Gable,CompShg,Plywood,Plywood,BrkFace,0.0,TA,Gd,CBlock,Gd,Gd,Gd,GLQ,1200.0,Unf,0.0,0.0,1200.0,GasA,TA,Y,SBrkr,1200,0,0,1200.0,3.0,0.0,3.0,0,3.0,1,TA,5,Typ,0.0,Gd,Attchd,1979.0,Unf,0.0,0.0,TA,TA,Y,120,0,0,0,0,0,Ex,MnPrv,Shed,0,3,2009,WD,Alloca,1,-1.1713206434040022,-0.07016535989885782
1841,90,RL,67.0,10547.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,SFoyer,5,5.0,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,0.0,TA,TA,PConc,Gd,Gd,Gd,GLQ,1152.0,Unf,0.0,0.0,1152.0,GasA,TA,Y,SBrkr,1152,0,0,1152.0,2.0,0.0,2.0,0,2.0,2,TA,6,Typ,0.0,Gd,Detchd,1960.0,Unf,1.0,252.0,TA,Fa,N,0,0,0,0,0,0,Ex,MnPrv,Shed,0,7,2009,WD,Normal,1,-0.8130147905065152,-0.13091424741732233
1842,50,RL,60.0,9780.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,3.5,1934,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,585.0,585.0,GasA,TA,N,FuseA,687,425,0,1112.0,1.0,0.0,2.0,0,4.0,1,TA,6,Typ,0.0,Gd,Detchd,1934.0,Unf,1.0,226.0,Po,Po,N,0,0,0,0,0,0,Ex,MnPrv,Shed,0,3,2009,WD,Normal,1,-1.5298687362003498,0.19813824278198455
1843,20,RL,75.0,11625.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6.0,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,172.0,TA,TA,CBlock,TA,TA,No,BLQ,527.0,Unf,0.0,525.0,1052.0,GasA,TA,Y,SBrkr,1052,0,0,1052.0,0.0,0.0,1.0,1,3.0,1,TA,6,Typ,1.0,Po,Attchd,1984.0,Fin,1.0,668.0,TA,TA,Y,0,180,0,0,0,0,Ex,MnPrv,Shed,0,4,2009,WD,Abnorml,1,-1.0658060951140766,-0.04940274339074875
1844,85,RL,67.0,8014.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,6,5.0,1978,1978,Gable,CompShg,Plywood,HdBoard,BrkFace,23.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,456.0,Unf,0.0,0.0,456.0,GasA,TA,Y,SBrkr,1034,0,0,1034.0,0.0,1.0,1.0,0,3.0,1,TA,5,Typ,1.0,Fa,Basment,1978.0,Fin,2.0,504.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,0,6,2009,WD,Normal,1,-1.1616155007753126,-1.285861140682983
1845,80,RL,88.0,15400.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5,5.0,1961,1961,Hip,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,Gd,No,Unf,0.0,Unf,0.0,552.0,552.0,GasA,TA,Y,SBrkr,904,611,259,1774.0,0.0,0.0,2.0,0,4.0,1,TA,8,Typ,1.0,TA,Attchd,1961.0,Unf,1.0,384.0,TA,TA,Y,290,40,0,0,0,0,Ex,MnPrv,Shed,0,7,2009,WD,Normal,1,-0.017758376286889966,2.03187357742667
1846,80,RL,88.0,15312.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,5.0,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,54.0,TA,TA,CBlock,TA,TA,Av,BLQ,588.0,Unf,0.0,550.0,1138.0,GasA,Ex,Y,SBrkr,1138,0,0,1138.0,0.0,1.0,1.0,0,3.0,1,TA,6,Typ,1.0,TA,Attchd,1960.0,RFn,2.0,480.0,TA,TA,Y,0,0,0,0,140,0,Ex,MnPrv,Shed,0,3,2009,COD,Normal,1,-0.20078701671530402,-0.030532542274419847
1847,80,RL,67.0,15584.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,5,5.0,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,366.0,TA,TA,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,825.0,825.0,GasA,Ex,Y,SBrkr,2071,0,0,2071.0,0.0,1.0,1.0,1,4.0,1,TA,9,Typ,1.0,TA,Attchd,1956.0,Unf,1.0,336.0,TA,TA,Y,131,28,0,0,0,0,Ex,MnPrv,Shed,0,10,2009,WD,Normal,1,-0.11831327385045615,2.536602634007195
1848,20,RL,67.0,9000.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,2,3.5,1947,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,Slab,TA,TA,No,GLQ,0.0,Unf,0.0,0.0,4.0,GasA,Fa,N,SBrkr,660,0,0,660.0,0.0,0.0,1.0,0,2.0,1,Fa,5,Min2,0.0,Gd,Attchd,1979.0,Unf,0.0,0.0,TA,TA,N,0,0,100,0,0,0,Ex,MnPrv,Shed,0,6,2009,WD,Normal,1,-4.695538480115257,-0.13208915218809744
1849,20,RL,67.0,15635.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5.0,1954,1954,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,GLQ,0.0,Unf,0.0,0.0,4.0,GasA,TA,Y,SBrkr,1383,0,0,1383.0,0.0,0.0,1.0,0,2.0,1,TA,6,Mod,0.0,Gd,Attchd,1980.0,Unf,2.0,498.0,Fa,TA,Y,0,0,90,0,110,0,Ex,MnPrv,Shed,0,10,2009,WD,Normal,1,-1.3434628268253206,0.9229764362840375
1850,20,RL,68.0,9571.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5.0,1956,1956,Hip,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,257.0,Unf,0.0,816.0,1073.0,GasA,TA,Y,FuseA,1073,0,0,1073.0,1.0,0.0,1.0,0,2.0,1,TA,5,Typ,0.0,Gd,Attchd,1956.0,Unf,1.0,340.0,TA,TA,Y,0,0,0,0,0,0,Ex,GdPrv,Shed,0,2,2009,WD,Normal,1,-1.8654099476600914,-0.536575502644784
1851,60,RL,50.0,9350.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,7.0,1946,1950,Hip,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,BLQ,342.0,Unf,0.0,405.0,747.0,GasA,Ex,Y,SBrkr,892,747,0,1639.0,0.0,0.0,1.0,1,3.0,1,Gd,6,Typ,1.0,Gd,Detchd,1946.0,Unf,1.0,240.0,TA,TA,Y,0,50,0,0,0,0,Ex,MnPrv,Shed,0,7,2009,WD,Normal,1,-1.834980657467114,1.1439540391821053
1852,20,RL,62.0,7440.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6.0,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,173.0,Unf,0.0,916.0,1089.0,GasW,TA,Y,SBrkr,1089,0,0,1089.0,1.0,0.0,1.0,0,3.0,1,TA,5,Typ,1.0,Gd,Detchd,1954.0,RFn,1.0,252.0,TA,TA,P,328,0,0,0,0,0,Ex,MnPrv,Shed,0,9,2009,WD,Normal,1,-2.3108527039065008,-0.33896494222987433
